Wavelength (nm),Absorbance
300,0.28956
301,0.27817
302,0.26719
303,0.25665
304,0.24653
305,0.23683
306,0.22755
307,0.21871
308,0.21028
309,0.20228
310,0.19471
311,0.18756
312,0.18083
313,0.1743
314,0.1683
315,0.16282
316,0.15784
317,0.15331
318,0.14914
319,0.14545
320,0.14225
321,0.13944
322,0.13706
323,0.13501
324,0.13326
325,0.13186
326,0.13074
327,0.12995
328,0.12948
329,0.12931
330,0.12945
331,0.12991
332,0.1307
333,0.1318
334,0.13318
335,0.13486
336,0.13679
337,0.13901
338,0.14145
339,0.14414
340,0.147
341,0.14999
342,0.15305
343,0.15621
344,0.15933
345,0.16224
346,0.16485
347,0.16708
348,0.16891
349,0.1702
350,0.17086
351,0.17087
352,0.17027
353,0.16904
354,0.16724
355,0.1649
356,0.16212
357,0.15896
358,0.15552
359,0.15188
360,0.14818
361,0.14451
362,0.14096
363,0.13765
364,0.13462
365,0.13189
366,0.12943
367,0.1273
368,0.12541
369,0.12371
370,0.12214
371,0.1207
372,0.11931
373,0.11785
374,0.11634
375,0.11482
376,0.11326
377,0.11165
378,0.11004
379,0.10838
380,0.10672
381,0.10505
382,0.10338
383,0.10172
384,0.10018
385,0.09867
386,0.09728
387,0.096
388,0.0948
389,0.09368
390,0.09266
391,0.09175
392,0.0909
393,0.09009
394,0.08934
395,0.08863
396,0.08795
397,0.08728
398,0.08666
399,0.08607
400,0.08554
401,0.08504
402,0.08459
403,0.08418
404,0.08381
405,0.08348
406,0.08318
407,0.08291
408,0.08267
409,0.08243
410,0.08219
411,0.08194
412,0.08169
413,0.08142
414,0.08115
415,0.08087
416,0.08056
417,0.08016
418,0.07973
419,0.07926
420,0.07872
421,0.07812
422,0.07747
423,0.07676
424,0.07602
425,0.07523
426,0.0744
427,0.07354
428,0.07264
429,0.07173
430,0.07078
431,0.06984
432,0.06888
433,0.06796
434,0.06699
435,0.06607
436,0.0652
437,0.06436
438,0.06356
439,0.06282
440,0.06207
441,0.06134
442,0.06068
443,0.06006
444,0.05949
445,0.05893
446,0.05842
447,0.05792
448,0.05746
449,0.05701
450,0.0566
451,0.05618
452,0.05576
453,0.05534
454,0.05494
455,0.05456
456,0.05415
457,0.05378
458,0.05336
459,0.053
460,0.05265
461,0.05228
462,0.05193
463,0.05159
464,0.05127
465,0.05094
466,0.05064
467,0.05032
468,0.05003
469,0.04973
470,0.04944
471,0.04918
472,0.04892
473,0.04866
474,0.04841
475,0.04814
476,0.04787
477,0.04762
478,0.0474
479,0.04715
480,0.0469
481,0.04665
482,0.0464
483,0.04617
484,0.04594
485,0.04573
486,0.04553
487,0.0453
488,0.04506
489,0.04483
490,0.0446
491,0.04438
492,0.04416
493,0.04398
494,0.04378
495,0.04359
496,0.0434
497,0.04321
498,0.04302
499,0.04284
500,0.04265
501,0.04247
502,0.0423
503,0.04208
504,0.0419
505,0.04171
506,0.04155
507,0.0414
508,0.04123
509,0.04106
510,0.04086
511,0.04065
512,0.04048
513,0.04032
514,0.04015
515,0.03994
516,0.03976
517,0.03958
518,0.03938
519,0.0392
520,0.03903
521,0.03886
522,0.03868
523,0.03853
524,0.03837
525,0.0382
526,0.03803
527,0.0379
528,0.03777
529,0.03763
530,0.03752
531,0.03742
532,0.0373
533,0.03718
534,0.03707
535,0.03697
536,0.03691
537,0.03681
538,0.03671
539,0.03661
540,0.03652
541,0.03642
542,0.03633
543,0.03628
544,0.03619
545,0.03609
546,0.03599
547,0.03591
548,0.0358
549,0.03571
550,0.03557
551,0.03543
552,0.03524
553,0.03507
554,0.03492
555,0.03477
556,0.03459
557,0.03441
558,0.03423
559,0.03408
560,0.03392
561,0.03373
562,0.03357
563,0.0334
564,0.03323
565,0.03307
566,0.0329
567,0.03277
568,0.03263
569,0.03249
570,0.03237
571,0.03225
572,0.03213
573,0.03201
574,0.03183
575,0.03166
576,0.03153
577,0.0314
578,0.03131
579,0.03123
580,0.03113
581,0.03105
582,0.03098
583,0.03094
584,0.03084
585,0.03077
586,0.03071
587,0.03064
588,0.03058
589,0.0305
590,0.03045
591,0.03041
592,0.03035
593,0.0303
594,0.03025
595,0.03015
596,0.03008
597,0.03001
598,0.0299
599,0.02981
600,0.02974
601,0.02965
602,0.02956
603,0.02945
604,0.02935
605,0.02927
606,0.02919
607,0.02913
608,0.029
609,0.02893
610,0.02885
611,0.02879
612,0.02875
613,0.02873
614,0.02873
615,0.0287
616,0.02866
617,0.02861
618,0.02857
619,0.0285
620,0.02848
621,0.02842
622,0.02837
623,0.0283
624,0.02824
625,0.02813
626,0.028
627,0.02791
628,0.02783
629,0.02773
630,0.02764
631,0.02753
632,0.02739
633,0.02729
634,0.02715
635,0.02703
636,0.0269
637,0.02676
638,0.02661
639,0.02643
640,0.02625
641,0.02611
642,0.02597
643,0.02581
644,0.0257
645,0.02558
646,0.02548
647,0.0254
648,0.02534
649,0.02523
650,0.02517
651,0.02516
652,0.02516
653,0.02514
654,0.02511
655,0.02506
656,0.025
657,0.02495
658,0.0249
659,0.02485
660,0.02478
661,0.02475
662,0.02473
663,0.02472
664,0.02468
665,0.02467
666,0.02461
667,0.02458
668,0.02454
669,0.02447
670,0.02444
671,0.02441
672,0.02432
673,0.02429
674,0.02427
675,0.02421
676,0.02413
677,0.02403
678,0.02393
679,0.02381
680,0.02373
681,0.02368
682,0.02361
683,0.02356
684,0.02349
685,0.02344
686,0.02344
687,0.0234
688,0.02331
689,0.02324
690,0.02317
691,0.0231
692,0.02303
693,0.02295
694,0.02287
695,0.02279
696,0.02271
697,0.02262
698,0.02253
699,0.02244
700,0.02235
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
